time,low,high,open,close,volume
1483250400,964.54,970.56,966.92,969.47,151.42933585
1483257600,968.11,970.68,969.04,970.38,142.21203346
1483264800,969.79,975,970.36,975,153.89504043
1483272000,974.01,977.99,975,977.99,176.67970055
1483279200,977.58,979.99,977.98,979.99,211.55353034
1483286400,977.63,994.97,979.98,994.42,911.81155167
1483293600,993.7,999.68,994.49,994.92,619.22453725
1483300800,992.04,1000,994.61,997.22,742.1595385
1483308000,986.86,998.99,997.22,992.95,506.67260712
1483315200,990.52,997.99,992.96,997.71,464.05133767
1483322400,997.39,1011.78,997.7,1009.63,691.15799075
1483329600,1000,1012,1009.63,1003.64,532.17864641
1483336800,1002.92,1012.25,1002.94,1012.25,374.45292012
1483344000,1005.7,1015,1012.01,1015,231.18178551
1483351200,1010.65,1024.95,1015,1024.84,349.45887294
1483358400,1005.3,1025,1024.84,1018.16,343.5814373
1483365600,1011.34,1028,1018,1026.98,858.45014005
1483372800,1015.81,1034.39,1026.98,1021.88,792.74579479
1483380000,997.2,1029,1021.87,1001.01,1230.24985874
1483387200,991.69,1017.79,1001.02,1012.2,1270.86265305
1483394400,1011.31,1019.99,1012.2,1011.45,585.26431429
1483401600,1009.29,1023.3,1011.52,1019.01,552.44329572
1483408800,1012.9,1029.85,1019.05,1024.09,547.08923177
1483416000,1015.03,1027.93,1023.95,1018.8,626.60641066
1483423200,1006.71,1024.47,1018.65,1019.37,527.4607585
1483430400,1010,1019.8,1019.37,1010.97,411.69499809
1483437600,1009.08,1023.95,1011.04,1019.82,506.64148971
1483444800,1013.5,1025.75,1019.96,1015,490.94968762
1483452000,1010.3,1019.78,1016.37,1016.97,675.97694357
1483459200,1015.78,1019.99,1016.97,1019.97,571.70290836
1483466400,1014,1026.43,1019.98,1018.25,1022.22297943
1483473600,1018.25,1028.51,1018.25,1024.46,1053.18403435
1483480800,1018.18,1036.99,1024.33,1020.67,1628.27732036
1483488000,1018,1040,1020.69,1038.99,921.2892729
1483495200,1038.99,1047.99,1038.99,1046.74,1433.78064063
1483502400,1045.05,1065,1046.41,1062.96,1637.08538173
1483509600,1055.65,1065,1062.85,1062.92,611.2989668
1483516800,1057.85,1070,1062.87,1070,406.60226567
1483524000,1069.99,1090,1070,1084.62,725.99398987
1483531200,1075.15,1096.68,1084.63,1094.99,1226.57321258
1483538400,1065,1095.66,1094.99,1087.64,1440.47002285
1483545600,1087.1,1138,1087.72,1137,2114.40012649
1483552800,1110.01,1147,1136.63,1124.62,1680.10255762
1483560000,1067,1136.5,1123.67,1090.72,2474.60794055
