time,low,high,open,close,volume
1485928800,971.81,975,975,974.64,181.75739763
1485932400,972.52,979,974.74,978.89,146.06520695
1485936000,975.96,979.8,978.85,979.79,114.42059661
1485939600,972,979.99,979.78,973.57,230.2151845
1485943200,965,973.95,973.57,971.14,246.22083411
1485946800,968.04,972.56,971.05,969.39,106.92197221
1485950400,963.84,972.21,969.84,964.72,194.94135068
1485954000,964.16,970.82,964.69,970.82,200.82521071
1485957600,970.83,974.17,970.84,971.75,329.76237015
1485961200,970.21,974.29,971.75,974.28,267.06619513
1485964800,972.58,977.75,973.51,976.92,328.24987463
1485968400,976.78,978.27,976.91,977.34,184.6501428
1485972000,976.65,979.99,977.35,979.93,179.03248009
1485975600,977.89,979.95,979.93,978.7,369.100824
1485979200,978.63,980,978.91,979.25,213.30786564
1485982800,979.14,980.9,979.25,980.8,158.25843116
1485986400,979.4,987,980.79,986.97,309.86743428
1485990000,986.96,992.75,986.97,992.75,299.53902507
1485993600,992.75,996.75,992.75,995.9,229.20882673
1485997200,991.52,996.99,996.71,993.99,301.47771669
1486000800,984.18,993.99,993.99,984.96,352.38062566
1486004400,978.74,986.2,984.67,986.14,378.22801059
1486008000,983.64,986.14,986.14,985.95,155.12527865
1486011600,985.07,988.93,985.91,987.01,120.72545221
1486015200,985.75,988.9,987.98,988.52,109.37647316
1486018800,985.98,988.99,988.52,988.74,103.88664713
1486022400,987.89,990,988.74,990,84.20475683
1486026000,989.79,992,990,991.98,103.17687322
1486029600,988.49,992,991.97,992,106.2370415
1486033200,989.33,992,991.93,992,73.09155549
1486036800,989.82,992,992,991.9,75.83003986
1486040400,990.56,993.24,991.89,993.1,161.65953787
1486044000,988.6,994.6,993.16,993.7,339.09753985
1486047600,992.13,996,993.67,995.85,235.54054247
1486051200,995.95,1005,995.97,1005,613.12600987
1486054800,1001.48,1005.1,1005,1001.49,387.51466953
1486058400,1000,1002.96,1001.48,1002.87,313.91669694
1486062000,1000.03,1002.49,1002.08,1002,188.40702883
1486065600,1001.21,1003.23,1002,1001.99,165.85694256
1486069200,1002,1008.99,1002.84,1008.99,369.98480429
1486072800,1005.3,1010,1008.99,1008.56,419.10790657
1486076400,1002.01,1009.99,1007.78,1008.38,341.05140427
1486080000,997.94,1009.96,1008.4,1006.89,355.93251282
1486083600,1001.62,1014.73,1006.9,1014.22,490.02644287
1486087200,1011,1019,1014.71,1018,487.21146376
1486090800,1017.18,1022,1017.98,1020.6,301.49779119
1486094400,1018.27,1021.96,1020.68,1021.26,210.461952
1486098000,1017.08,1024.5,1021.36,1019.9,269.19022482
1486101600,994.34,1023.23,1019.54,1000.78,627.56579366
1486105200,1000.79,1017.66,1000.79,1017.13,259.78684669
1486108800,1011.38,1018.9,1017.26,1012.58,197.92130465
1486112400,1009.89,1017,1012.1,1017,154.93646096
1486116000,1007.17,1018.85,1016.89,1008.55,321.817205
1486119600,1002.94,1010.58,1008.57,1007.92,154.51321736
1486123200,1000,1009.84,1008.01,1005.98,230.24078723
1486126800,1005.2,1013.4,1005.99,1013.35,174.00802161
1486130400,1010,1016.06,1012.2,1015.55,179.16612345
1486134000,1009.48,1017.73,1015.5,1017.73,313.11446155
1486137600,1015.24,1018.23,1017.86,1016.5,169.20051896
1486141200,1012,1018.99,1016.5,1018.99,348.48762784
1486144800,1017,1019.98,1018.99,1017.58,224.7218873
1486148400,1016,1019,1017.79,1016.62,217.54986374
1486152000,1010,1016.63,1016.45,1013.7,244.71985704
1486155600,1011.03,1016.08,1013.7,1015.8,270.47949464
1486159200,1008.79,1015.98,1015.75,1015.44,279.20742217
1486162800,1014.15,1019.75,1015.49,1018,294.51243715
